"","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","X","Y","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time"
"27",2,211,3,0,"0.26,0.09,0.12","17_05_23","22:34:26",32,"TowerR04",465,"RP051701","RP051701-17_05_23-22",1286360.79560799,540920.536038687,1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA
"28",1,194,3,0,"0.25,0.1,0.04","01_06_23","2:52:38",31,"TowerR03",467,"WF052311","WF052311-01_06_23-2",1286464.34138308,540965.530885857,1286464.34138308,540965.530885857,NA,NA,NA,NA,NA,NA,NA
"29",32,211,3,0,"0.25,0.1,0.04","30_05_23","23:48:05",32,"TowerR04",467,"WF052311","WF052311-30_05_23-23",1286360.79560799,540920.536038687,1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA
"30",7,246,2,0,"0.25,0.09,0.06","19_05_23","16:55:23",31,"TowerW13",467,"WF052311","WF052311-19_05_23-16",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"31",2,92,1,0,"0.25,0.1,0.06","18_05_23","17:06:40",31,"TowerW03",467,"WF052311","WF052311-18_05_23-17",1277287.56912894,568943.602704461,1277287.56912894,568943.602704461,NA,NA,NA,NA,NA,NA,NA
"32",2,207,1,0,"0.24,0.09,0.05","19_05_23","17:08:48",31,"TowerR13",467,"WF052311","WF052311-19_05_23-17",1286798.30418877,540655.374968405,1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA
"33",13,75,2,0,"0.24,0.1,0.05","01_06_23","20:51:32",32,"TowerR13",467,"WF052311","WF052311-01_06_23-20",1286798.30418877,540655.374968405,1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA
"34",0,282,1,0,"0.24,0.11,0.05","19_05_23","14:10:04",31,"TowerW04",467,"WF052311","WF052311-19_05_23-14",1277367.73806454,568612.134358281,1277367.73806454,568612.134358281,NA,NA,NA,NA,NA,NA,NA
"35",1,320,2,0,"0.24,0.13,0.08","18_05_23","0:06:09",31,"TowerR01",469,"WF052303","WF052303-18_05_23-0",1286438.22633407,541122.649294353,1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA
"36",2,125,1,30,"0.24,0.13,0.08","19_05_23","16:40:02",63,"TowerW02",469,"WF052303","WF052303-19_05_23-16",1277341.09179271,569073.50003613,1277341.09179271,569073.50003613,NA,NA,NA,NA,NA,NA,NA
"37",1,194,3,0,"0.26,0.12,0.09","31_05_23","22:34:01",31,"TowerR03",469,"WF052303","WF052303-31_05_23-22",1286464.34138308,540965.530885857,1286464.34138308,540965.530885857,NA,NA,NA,NA,NA,NA,NA
"38",3,75,2,0,"0.25,0.14,0.17","31_05_23","10:29:18",31,"TowerR13",470,"RF051702","RF051702-31_05_23-10",1286798.30418877,540655.374968405,1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA
